thesis_chapter,paper_surface,coverage_mode,status,notes
ch01_introduction,sec:intro,expanded_summary,complete,"Existing paper section carries long-form introduction narrative."
ch02_related_work,sec:related,expanded_summary,complete,"Existing paper section carries related-work synthesis."
ch03_problem_formulation,sec:problem,expanded_summary,complete,"Existing paper problem section covers dispatch setting and constraints."
ch04_observed_state_safety_illusion,sec:safety_illusion,expanded_summary,complete,"Existing paper section already mirrors the core safety-gap chapter."
ch05_orius_system_context,sec:background,expanded_summary,complete,"System context and code map remain in paper main body."
ch06_data_telemetry_scope,sec:background,expanded_summary,complete,"Dataset scope and telemetry framing remain in paper main body."
ch07_battery_dynamics_dispatch,sec:problem,expanded_summary,complete,"Battery dynamics and objective remain in paper main body."
ch08_forecasting_calibration,sec:forecasting_uq,expanded_summary,complete,"Forecasting/calibration mechanics remain in paper main body."
ch09_dc3s_battery_adapter,sec:safe_dispatch,expanded_summary,complete,"Shield mechanics remain in paper main body."
ch10_cpsbench_battery_track,sec:experiments,expanded_summary,complete,"Benchmark protocol remains in paper main body."
ch11_main_battery_results,sec:results,expanded_summary,complete,"Main locked empirical results remain in paper main body."
ch12_ablations_failure_analysis,sec:results,expanded_summary,complete,"Ablation findings remain in paper results block."
ch13_case_studies_operational_traces,sec:results,expanded_summary,complete,"Operational trace remains in paper results block."
ch14_battery_lessons_domain_interpretation,sec:baseline_diagnosis,expanded_summary,complete,"Interpretive diagnosis remains in paper main body."
ch15_assumptions_notation_proof_discipline,longform/theorem_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch16_battery_theorem_oasg_existence,longform/theorem_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch17_battery_theorem_safety_preservation,longform/theorem_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch18_orius_core_bound_battery,longform/theorem_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch19_no_free_safety_battery,longform/theorem_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch20_temporal_behavioral_extensions,longform/theorem_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch21_fault_performance_stress_tests,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch22_latency_systems_footprint,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch23_hyperparameter_surface_stability,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch24_conditional_coverage_subgroups,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch25_regional_decomposition_real_prices,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch26_asset_preservation_aging_proxy,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch27_hardware_in_loop_validation,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch28_certificate_half_life_blackout,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch29_graceful_degradation_safe_landing,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch30_orius_bench_battery_track,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch31_compositional_safety_battery_fleets,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch32_certos_runtime_certificate_lifecycle,longform/hardening_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile as the runtime-governance Paper 6 chapter."
ch33_what_battery_thesis_proves,longform/closing_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch34_outside_current_evidence,longform/closing_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch35_deployment_path_verification_discipline,longform/closing_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
ch36_conclusion,longform/closing_block_longform.tex,imported_longform,complete,"Imported through PaperImportStructuredFile."
