theorem_id,title,status,statement_complete,assumptions_complete,proof_file,code_anchor,tests_count,artifacts_count,claim_boundary,promotion_ready,artifact_hashes_complete
T1,OASG Existence,flagship_theorem,yes,yes,appendices/app_c_full_proofs.tex,src/orius/orius_bench/metrics_engine.py,1,2,battery witness-row OASG existence under explicit reachability assumptions,yes,yes
T2,Safety Preservation,flagship_theorem,yes,yes,appendices/app_c_full_proofs.tex,src/orius/dc3s/guarantee_checks.py,1,2,one-step true-state postcondition with tightened margin,yes,yes
T3a,ORIUS Core Envelope Derivation,flagship_theorem,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/risk_bounds.py,1,2,per-step expected envelope under explicit theorem-local calibration contract,yes,yes
T3b,ORIUS Core Aggregation Corollary,flagship_corollary,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/risk_bounds.py,1,2,"derived aggregation corollary, not an independent theorem burden",yes,yes
T4,Observation Necessity / No Free Safety,flagship_theorem,yes,yes,appendices/app_c_full_proofs.tex,src/orius/dc3s/supporting_results.py,1,2,battery-row observation-necessity witness for fixed-margin quality-ignorant controllers,yes,yes
T5,Finite-Horizon Certificate Validity,flagship_theorem,yes,yes,appendices/proofs/T5_certificate_validity.tex,src/orius/dc3s/temporal_theorems.py,3,6,finite-horizon runtime certificate; invalidates on contradictory evidence,yes,yes
T6,Certificate Expiration Bound,flagship_theorem,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/battery_instantiation.py,1,2,confidence-aware battery expiration theorem with explicit delta dependence,yes,yes
T7,Feasible Fallback Existence,flagship_theorem,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/battery_instantiation.py,1,2,battery-specific piecewise fallback theorem,yes,yes
T8,Graceful Degradation Dominance with Useful Work,flagship_theorem,yes,yes,appendices/proofs/T8_graceful_dominance.tex,src/orius/benchmarks/graceful_degradation.py,2,6,paired-policy dominance under identical admissible fault traces,yes,yes
T9,Impossibility of Quality-Ignorant Mandatory Release,flagship_theorem,yes,yes,appendices/proofs/T9_no_free_safety.tex,src/orius/universal_theory/ambiguity.py,1,4,mandatory observation-only release class only,yes,yes
T10,Boundary-Indistinguishability Lower Bound,flagship_theorem,yes,yes,appendices/proofs/T10_boundary_lower_bound.tex,src/orius/universal_theory/boundary_indistinguishability.py,1,4,"two-state lower bound, not global minimax frontier",yes,yes
T10_T11_ObservationAmbiguitySandwich,Covered Observation-Ambiguity Optimality,flagship_corollary,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/observation_ambiguity.py,1,4,"contract-universal covered observation ambiguity, not unrestricted global optimality",yes,yes
T11_AV_BrakeHold,AV Brake-Hold Runtime Lemma,flagship_lemma,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/domain_runtime_contracts.py,1,2,"bounded AV replay brake-hold postcondition, not full autonomous-driving closure",yes,yes
T11_HC_FailSafeRelease,Healthcare Fail-Safe Release Runtime Lemma,flagship_lemma,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/domain_runtime_contracts.py,1,2,"bounded healthcare monitoring postcondition, not clinical deployment approval",yes,yes
T6_AV_FallbackValidity,AV One-Step Fallback Certificate Lemma,flagship_lemma,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/domain_validity.py,1,2,one-step degraded fallback validity only,yes,yes
T6_HC_FallbackValidity,Healthcare One-Step Fallback Certificate Lemma,flagship_lemma,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/domain_validity.py,1,2,one-step degraded fallback validity only,yes,yes
T_EQ_Battery_RuntimeArtifactPackage,Battery Equal Artifact Discipline Package,flagship_definition,yes,yes,appendices/app_c_full_proofs.tex,scripts/build_equal_domain_artifact_discipline.py,1,3,"artifact-discipline package, not a new battery theorem",yes,yes
T_EQ_AV_RuntimeArtifactPackage,AV Equal Artifact Discipline Package,flagship_definition,yes,yes,appendices/app_c_full_proofs.tex,scripts/build_equal_domain_artifact_discipline.py,1,3,"bounded AV artifact-discipline package, not field closure",yes,yes
T_EQ_HC_RuntimeArtifactPackage,Healthcare Equal Artifact Discipline Package,flagship_definition,yes,yes,appendices/app_c_full_proofs.tex,scripts/build_equal_domain_artifact_discipline.py,1,3,"bounded healthcare artifact-discipline package, not regulated deployment",yes,yes
T11_Byzantine,Byzantine-Robust Reliability Aggregation,flagship_theorem,yes,yes,appendices/proofs/T11Byz_robust_reliability.tex,src/orius/dc3s/quality.py,2,4,b-trimmed aggregator valid only for b<n/2,yes,yes
T11,Typed Structural Transfer,flagship_theorem,yes,yes,appendices/app_c_full_proofs.tex,src/orius/universal_theory/contracts.py,1,2,forward four-obligation one-step transfer theorem; converse remains separate,yes,yes
T_stale_decay,Stale-Hold Uncertainty Growth,flagship_theorem,yes,yes,appendices/proofs/Tstale_uncertainty_growth.tex,src/orius/universal_theory/stale_decay.py,1,4,bounded-drift stale-hold expansion only,yes,yes
T_minimax,Finite Ambiguity-Class Minimax Lower Bound,flagship_theorem,yes,yes,appendices/proofs/Tminimax_finite_ambiguity.tex,src/orius/universal_theory/minimax_boundary.py,1,3,finite two-state ambiguity class only,yes,yes
T_sensor_converse,Sensor Necessity Under Adapter Semantics,flagship_theorem,yes,yes,appendices/proofs/Tsensor_sensor_necessity.tex,src/orius/universal_theory/sensor_necessity.py,1,3,depends on disjoint-safe-core witness under missing sensor coordinate,yes,yes
T_trajectory_PAC,Finite-Horizon PAC Release Certificate,flagship_theorem,yes,yes,appendices/proofs/TPAC_trajectory_certificate.tex,src/orius/universal_theory/risk_bounds.py,2,5,Bonferroni/union-bound trajectory certificate; no Ville strengthening claimed,yes,yes
L1,Reliability-Monotone Inflation,flagship_lemma,yes,yes,appendices/proofs/L1_reliability_inflation.tex,src/orius/universal_theory/runtime_laws.py,1,3,runtime proxy law,yes,yes
L2,Safe-Set Antitonicity,flagship_lemma,yes,yes,appendices/proofs/L2_safe_set_antitonicity.tex,src/orius/universal_theory/runtime_laws.py,1,3,set-inclusion law,yes,yes
L3,Intervention Threshold,flagship_lemma,yes,yes,appendices/proofs/L3_intervention_threshold.tex,src/orius/universal_theory/runtime_laws.py,1,3,release-time certified action filter,yes,yes
L4,Observation-Ambiguity Safety Sandwich,flagship_lemma,yes,yes,appendices/proofs/L4_ambiguity_sandwich.tex,src/orius/universal_theory/runtime_laws.py,1,3,"lower-side T9/T10, upper-side T2/T3 coupling",yes,yes
