theorem_key,theorem_class,title,surface_kind,defense_tier,source,mapped_to,traceability_status,source_exists,code_anchors_ok,artifacts_ok,appendix_mapping_ok,pass_gate,notes
S1,unique_theorem,Existence of the illusion under dropout,theorem,supporting_defended,chapters_merged/ch03_background.tex,Existence of the illusion under dropout,locked,True,True,True,True,True,locked
S2,unique_theorem,DC3S Feasibility Guarantee,theorem,supporting_defended,chapters_merged/ch03_background.tex,DC3S Feasibility Guarantee,locked,True,True,True,True,True,locked
T1,unique_theorem,OASG Existence,theorem,flagship_defended,chapters_merged/ch04_theoretical_foundations.tex,OASG Existence,flagship_defended,True,True,True,True,True,locked
T2,unique_theorem,Safety Preservation,theorem,flagship_defended,chapters_merged/ch04_theoretical_foundations.tex,Safety Preservation,flagship_defended,True,True,True,True,True,locked
T3,unique_theorem,ORIUS Core Bound,theorem,flagship_defended,chapters_merged/ch04_theoretical_foundations.tex,ORIUS Core Bound,flagship_defended,True,True,True,True,True,locked
T4,unique_theorem,Observation Necessity / No Free Safety,theorem,flagship_defended,chapters_merged/ch04_theoretical_foundations.tex,Observation Necessity / No Free Safety,flagship_defended,True,True,True,True,True,locked
T5,unique_theorem,Certificate validity horizon,definition,draft_non_defended,chapters_merged/ch04_theoretical_foundations.tex,Certificate validity horizon,draft_non_defended,True,True,True,True,True,definition locked; excluded from defended headline counts
T6,unique_theorem,Certificate expiration bound,theorem,flagship_defended,chapters_merged/ch04_theoretical_foundations.tex,Certificate expiration bound,flagship_defended,True,True,True,True,True,locked
T7,unique_theorem,Feasible fallback existence,theorem,flagship_defended,chapters_merged/ch04_theoretical_foundations.tex,Feasible fallback existence,flagship_defended,True,True,True,True,True,locked
T8,unique_theorem,Graceful degradation dominance,theorem,supporting_defended,chapters_merged/ch04_theoretical_foundations.tex,Graceful degradation dominance,supporting_defended,True,True,True,True,True,supporting surface locked; excluded from flagship count
C.1,appendix_restatement,C.1 Battery-Domain OASG Existence,appendix_restatement,restatement,appendices/app_c_full_proofs.tex,OASG Existence,restated,True,True,True,True,True,appendix theorem restatement matches main theorem
C.2,appendix_restatement,C.2 One-Step Safety Preservation,appendix_restatement,restatement,appendices/app_c_full_proofs.tex,Safety Preservation,restated,True,True,True,True,True,appendix theorem restatement matches main theorem
C.3,appendix_restatement,C.3 Battery ORIUS Core Bound,appendix_restatement,restatement,appendices/app_c_full_proofs.tex,ORIUS Core Bound,restated,True,True,True,True,True,appendix theorem restatement matches main theorem
C.4,appendix_restatement,C.4 Observation Necessity / No Free Safety,appendix_restatement,restatement,appendices/app_c_full_proofs.tex,Observation Necessity / No Free Safety,restated,True,True,True,True,True,appendix theorem restatement matches main theorem
C.5,appendix_restatement,C.5 Certificate Validity Horizon,appendix_restatement,restatement,appendices/app_c_full_proofs.tex,Certificate validity horizon,restated,True,True,True,True,True,appendix theorem restatement matches main theorem
C.6,appendix_restatement,C.6 Certificate Expiration Bound,appendix_restatement,restatement,appendices/app_c_full_proofs.tex,Certificate expiration bound,restated,True,True,True,True,True,appendix theorem restatement matches main theorem
C.8,appendix_restatement,C.8 Feasible Fallback Existence,appendix_restatement,restatement,appendices/app_c_full_proofs.tex,Feasible fallback existence,restated,True,True,True,True,True,appendix theorem restatement matches main theorem
C.9,appendix_restatement,C.9 Graceful Degradation Dominance,appendix_restatement,restatement,appendices/app_c_full_proofs.tex,Graceful degradation dominance,restated,True,True,True,True,True,appendix theorem restatement matches main theorem
