gate,command,status,exact_message,file_responsible,blocks_training_readiness,blocks_publication_readiness,blocks_physical_validation_readiness,notes
paper claim validation,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_paper_claims.py,PASS,[validate_paper_claims] PASS: no findings,scripts/validate_paper_claims.py; reports/universal_orius_validation/domain_validation_summary.csv; docs/claim_ledger.md,no,no,no,Claim ledger and promoted domain summary are consistent.
model quality gate validator,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_model_quality_gate.py --require-pass,PASS,[validate_model_quality_gate] PASS model_quality=PASS,scripts/build_model_quality_gate.py; scripts/validate_model_quality_gate.py; reports/publication/model_quality_gate.json,no for release GBM lane; yes for any claim that all candidate deep models pass strict quality,no for current bounded release claims,no for pilot; yes for overclaiming all enabled models,"Gate reads reports/week2_metrics.json, reports/orius_av/nuplan_allzip_grouped/week2_metrics.json, reports/healthcare/week2_metrics.json. pass=true; model_count=49; release_model_count=13; blocking_release_model_count=0; candidate_blocking_model_count=18; candidate_findings=74."
theorem promotion / figure integrity,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_theorem_promotion.py,PASS,THEOREM PROMOTION VALIDATION PASSED,scripts/validate_theorem_promotion.py; reports/publication/theorem_result_cards/*.json,no,no,no,Theorem figure hashes are current for the promoted theorem cards.
reproducibility 95 validator,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_reproducibility_95.py --allow-dirty,PASS,[validate_reproducibility_95] PASS,scripts/validate_reproducibility_95.py; configs/script_registry.yml,no,no under --allow-dirty; dirty workspace still blocks sealed release packaging,no,Used --allow-dirty because the workspace already contains many unrelated/user changes.
runtime release contract,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_runtime_release_contract.py,PASS,[validate_runtime_release_contract] PASS,scripts/validate_runtime_release_contract.py; reports/publication/three_domain_ml_benchmark.csv,no,no,no for pilot; does not replace real hardware validation,"Promoted Battery, AV, and Healthcare rows carry runtime witness/postcondition evidence."
utility-preserving safety,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_utility_preserving_safety.py,PASS,[validate_utility_preserving_safety] PASS,scripts/validate_utility_preserving_safety.py; reports/publication/utility_preserving_safety_scorecard.csv,no,no,no for pilot; physical utility requires real run logs,Current utility evidence is predeployment/replay/simulator bounded.
equal-domain artifact discipline,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_equal_domain_artifact_discipline.py,PASS,[validate_equal_domain_artifact_discipline] PASS,scripts/validate_equal_domain_artifact_discipline.py; reports/publication/three_domain_*,no,no,no,"Battery, AV, and Healthcare have the required promoted-domain artifact discipline."
theorem surface validator,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_theorem_surface.py,PASS,[validate_theorem_surface] PASS,scripts/validate_theorem_surface.py; formal/Orius*.lean; reports/publication/active_theorem_audit.*,no,no,no,"Theorem surface is valid as a conditional/contract-bound formal layer, not an unrestricted universal physical proof."
generated artifact policy,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_generated_artifact_policy.py,PASS,[validate_generated_artifact_policy] PASS,scripts/validate_generated_artifact_policy.py; configs/script_registry.yml,no,no,no,Registered/generated script policy is clean.
AppleDouble sidecar hygiene,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_no_appledouble.py --exclude-active,PASS,[validate_no_appledouble] PASS,scripts/validate_no_appledouble.py,no,no,no,No active AppleDouble sidecar blocker found by validator.
95 validation manifest boundary,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python scripts/validate_95_validation_manifest.py,PASS,[validate_95_validation_manifest] PASS,scripts/validate_95_validation_manifest.py; reports/predeployment_external_validation/orius_95_validation_manifest.json,no,no,yes for claim-grade physical validation because the passing manifest explicitly keeps battery evidence_type=software_hil and physical_hil_completed=false,This pass confirms the boundary is honest; it is not a physical-HIL completion certificate.
focused publication/package tests,PYTHONDONTWRITEBYTECODE=1 COPYFILE_DISABLE=1 /Volumes/T9/gridpulse/.venv/bin/python -m pytest -q -p no:cacheprovider tests/test_model_quality_gates.py tests/test_validate_paper_claims.py tests/test_full_theorem_promotion_package.py tests/test_three_domain_submission_lane.py tests/test_domain_runtime_contract_witnesses.py tests/test_utility_preserving_safety_scorecard.py tests/test_equal_domain_artifact_discipline.py,PASS,57 passed,listed test files,no,no for focused package surface,no,Focused tests were selected for the publication/readiness gates; this is not a full test-suite claim.
