manuscript_surface,claim,support_status,current_support_anchor,later_trim_or_rewrite_action
ieee_abstract,ORIUS is presented as a fundamental runtime safety layer for Physical AI under degraded observation.,current_repo_supported,paper/paper.tex; reports/publication/orius_equal_domain_parity_matrix.csv,Keep as the anchor claim in both manuscripts.
ieee_introduction,"ORIUS supplies one reusable runtime grammar for degraded observation, repair, fallback, and certificates across six domains.",current_repo_supported,src/orius/dc3s/domain_adapter.py; reports/publication/orius_domain_closure_matrix.csv,"Keep the claim architectural, not equal-domain empirical."
problem_definition,"OASG is the common hidden hazard across batteries, AV, industrial plants, healthcare monitoring, navigation, and aerospace.",current_repo_supported,paper/monograph/ch02_oasg_claim_boundary.tex; paper/monograph/ch08_battery_bridge.tex; paper/monograph/ch09_av_domain.tex,Keep the hazard universal and plant-agnostic.
related_work,"Prior conformal, runtime assurance, safe-control, and CPS-monitoring families are each insufficient because none alone closes degraded observation as an action-semantics problem.",supported_by_primary_literature_only,paper/bibliography/orius_monograph.bib,Trim only if a future venue demands a more conservative related-work posture.
runtime_architecture,The Detect--Calibrate--Constrain--Shield--Certify kernel is the dominant technical move of ORIUS.,current_repo_supported,paper/monograph/ch04_universal_runtime_layer.tex; paper/monograph/ch05_detect_calibrate_constrain_shield_certify.tex,Retain as the main technical architecture claim.
benchmark_governance,One universal benchmark schema and one governance surface are sufficient to compare defended rows across domains.,current_repo_supported,docs/UNIVERSAL_BENCHMARK_SPEC.md; docs/UNIVERSAL_GOVERNANCE_SPEC.md; src/orius/certos/runtime.py,Keep the claim bounded to defended rows and audited support surfaces.
theorem_bridge,"The theory bridge establishes that degraded observation can create true-state violations despite observed-state legality, and that repair is structurally necessary.",current_repo_supported,paper/monograph/ch06_theory_bridge.tex; appendices/app_c_full_proofs.tex,Keep theorem statements scoped to the documented assumptions.
battery_section,Battery provides witness-depth theorem-to-code-to-artifact closure and calibrates the rest of the framework.,current_repo_supported,reports/publication/orius_equal_domain_parity_matrix.csv; chapters/ch11_main_battery_results.tex,Keep battery as witness rather than narrative center.
av_section,Autonomous vehicles are a defended bounded row under the TTC plus predictive-entry-barrier contract.,current_repo_supported,paper/monograph/ch09_av_domain.tex; reports/publication/orius_equal_domain_parity_matrix.csv,Do not expand this to full-stack or multi-lane autonomy claims.
industrial_section,Industrial control is a defended bounded row with explicit envelope-preserving repair and fallback semantics.,current_repo_supported,paper/monograph/ch10_industrial_domain.tex; reports/publication/orius_equal_domain_parity_matrix.csv,Keep deployment language bounded to the defended replay surface.
healthcare_section,Healthcare monitoring is a defended bounded row that treats degraded observation as intervention-suppression risk.,current_repo_supported,paper/monograph/ch11_healthcare_domain.tex; reports/publication/orius_equal_domain_parity_matrix.csv,Keep the row bounded to monitoring/intervention semantics rather than bedside certification.
navigation_section,Navigation is written as a future defended row in the visionary flagship draft.,visionary_requires_closure_work,reports/publication/orius_equal_domain_parity_matrix.csv; reports/real_data_contract_status.json,Trim to explicit gated language if submission must become artifact-strict.
aerospace_section,Aerospace is written as a future defended row in the visionary flagship draft.,visionary_requires_closure_work,reports/publication/orius_equal_domain_parity_matrix.csv; reports/real_data_contract_status.json,Trim to explicit experimental-row language if submission must become artifact-strict.
cross_domain_synthesis,ORIUS is the first universal runtime safety layer for Physical AI with one shared evaluation and governance contract.,supported_by_primary_literature_only,paper/bibliography/orius_monograph.bib; reports/publication/orius_equal_domain_parity_matrix.csv,"Keep equal-domain parity as a target, not a present-tense fact, unless blocked rows close."
limitations_boundary,Equal-domain universality remains a target state until navigation and aerospace clear the governed parity gate.,current_repo_supported,reports/publication/orius_equal_domain_parity_matrix.csv; reports/real_data_contract_status.json,Keep visible in both manuscripts.
conclusion,"ORIUS changes the field by establishing runtime safety layers, rather than nominal controllers, as the right universal object for Physical AI safety.",supported_by_primary_literature_only,paper/bibliography/orius_monograph.bib; paper/monograph/ch16_conclusion_monograph.tex,Retain the field-shaping tone while keeping the evidence gate explicit.
