lane,source_name,url,source_type,supports,orius_gap,boundary
runtime_assurance,NASA Formal Verification Framework for Runtime Assurance,https://ntrs.nasa.gov/citations/20240006522,runtime_assurance_reference,Runtime assurance motivates a trusted runtime layer that intervenes before unsafe release.,"ORIUS adds observation-reliability, certificate-backed release, and cross-domain artifact discipline.",Positioning source only; not evidence of ORIUS deployment certification.
uncertainty_coverage,Conformal Prediction: A Gentle Introduction,https://www.emerald.com/ftmal/article/16/4/494/1332423/Conformal-Prediction-A-Gentle-Introduction,uncertainty_quantification_reference,Coverage-aware uncertainty gives the statistical vocabulary for alpha-bounded release claims.,ORIUS connects coverage sets to runtime action release and fail-closed certificates.,Does not create a new universal conformal theorem by itself.
safety_critical_control,Control Barrier Functions: Theory and Applications,https://www.coogan.ece.gatech.edu/papers/pdf/amesecc19.pdf,safety_control_reference,Safety-critical control literature motivates set-based action admissibility and invariance.,ORIUS focuses on observation ambiguity and reliability-aware release rather than only nominal-state safety.,ORIUS is not claimed to replace all barrier-function controllers.
clinical_dataset,MIMIC-IV PhysioNet,https://www.physionet.org/content/mimiciv/2.1/,healthcare_dataset_reference,Retrospective ICU/EHR evidence source for healthcare monitoring validation.,ORIUS evaluates runtime alert/fallback legality and calibration rather than only point prediction.,Retrospective evidence only; not live clinical deployment.
clinical_dataset,eICU Collaborative Research Database PhysioNet,https://www.physionet.org/content/eicu-crd/2.0/,healthcare_external_dataset_reference,Multi-center ICU data source for stronger source/site-holdout validation.,Adds a path to external source validation beyond single-source retrospective replay.,Access-controlled dataset; future validation tier unless artifacts exist.
clinical_reporting,TRIPOD+AI,https://www.bmj.com/content/385/bmj-2023-078378,clinical_prediction_reporting_standard,Reporting discipline for prediction-model development and validation with AI/ML.,"Forces clear calibration, validation, population, and utility reporting for healthcare ORIUS.","Reporting standard, not proof of clinical effectiveness."
clinical_bias,PROBAST+AI,https://www.bmj.com/content/388/bmj-2024-082505,clinical_risk_of_bias_standard,Risk-of-bias and applicability checks for clinical prediction models.,"Defines reviewer-safe subgroup, source-holdout, and applicability claims.",Does not authorize live clinical use.
clinical_trial_reporting,CONSORT-AI,https://www.nature.com/articles/s41591-020-1034-x,clinical_ai_trial_reporting_standard,Clinical-trial reporting expectations for AI interventions.,Clarifies that ORIUS healthcare remains retrospective and is not prospective trial evidence.,No prospective clinical trial is claimed.
clinical_live_evaluation,DECIDE-AI,https://www.nature.com/articles/s41591-022-01772-9,early_live_clinical_ai_reporting_standard,Early live clinical evaluation expectations for AI decision support.,Supplies the boundary between retrospective monitoring evidence and live decision-support evidence.,ORIUS does not claim DECIDE-AI live evaluation completion.
clinical_diagnostic_reporting,STARD-AI,https://www.nature.com/articles/s41591-025-03953-8,diagnostic_ai_reporting_standard,Diagnostic AI reporting expectations and external evaluation caution.,Helps prevent healthcare ORIUS from overstating diagnostic or clinical-decision status.,"Healthcare row is monitoring/runtime evidence, not diagnostic approval."
av_closed_loop,nuPlan closed-loop planning benchmark,https://arxiv.org/abs/2106.11810,av_closed_loop_benchmark_reference,Large-scale closed-loop planning benchmark with city-diverse real driving data.,ORIUS uses nuPlan replay/surrogate evidence now and treats full closed-loop validation as a next tier.,Current completed evidence is bounded replay/surrogate unless closed-loop artifacts exist.
av_stress_simulation,CARLA simulator,https://arxiv.org/abs/1711.03938,av_simulator_reference,"Controllable simulator for weather, sensors, traffic, latency, and emergency stress tests.",CARLA is the best next tier for repeatable degraded-observation closed-loop stress.,CARLA completion cannot be claimed until a real CARLA runtime loop produces artifacts.
av_dataset,Waymo Motion Dataset,https://www.waymo.jp/intl/jp/open/data/motion/,av_motion_dataset_reference,"Motion prediction/replay data with tracks, map context, and train/validation/test splits.",Supports AV runtime replay evidence but not closed-loop road deployment.,Dataset replay is not road deployment.
