claim_id,claim_type,claim,artifact_source,artifact_exists,evidence_status,boundary,reviewer_risk,allowed_language
H1,headline,"ORIUS provides a reliability-aware runtime safety layer for physical AI under degraded observation, enforcing certificate-backed action release through uncertainty coverage, repair, and fallback.",docs/claim_ledger.md,True,supported_by_claim_ledger_and_runtime_artifacts,"Architecture/runtime claim, not deployment marketing.",medium,Reliability-aware runtime safety layer under degraded observation.
H2,headline,Observation-only mandatory-release controllers face a lower bound under safety-relevant ambiguity; ORIUS achieves an alpha-bounded upper guarantee under covered uncertainty sets.,reports/publication/active_theorem_audit.csv,True,supported_by_active_theorem_audit,Optimality is covered-observation ambiguity only.,medium,Lower bound for observation-only control; alpha-bounded ORIUS upper guarantee.
H3,headline,The promoted runtime-denominator rows show zero ORIUS TSVR for Battery and Healthcare and epsilon-closed ORIUS TSVR for Autonomous Vehicles under bounded predeployment validation.,reports/publication/three_domain_ml_benchmark.csv,True,supported_by_runtime_denominator_rows,"Bounded predeployment validation, not field deployment.",high,Zero Battery/Healthcare TSVR and epsilon-closed AV TSVR on promoted runtime-denominator rows.
H4,headline,All three promoted domains pass equal artifact-discipline gates.,reports/publication/equal_domain_artifact_discipline.csv,True,supported_by_equal_domain_gate,Equal artifact discipline is not equal real-world maturity.,medium,Same artifact classes across domains; evidence depth remains tiered.
D-battery,domain_runtime,Battery Energy Storage runtime row reduces TSVR from 0.008333 to 0.000000 with witness pass rate 1.000000.,reports/battery_av/battery/runtime_summary.csv,True,supported_by_runtime_summary,"Battery remains the witness row. The runtime-governing three-domain lane uses the locked battery witness runtime, while deep battery learned rows remain diagnostic only.",medium,Runtime-denominator safety evidence under the promoted bounded contract.
D-av,domain_runtime,Autonomous Vehicles runtime row reduces TSVR from 0.289250 to 0.000163 with witness pass rate 0.999837.,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,True,supported_by_runtime_summary,AV is runtime-governed through all-zip grouped nuPlan replay/surrogate runtime-contract evidence. The evidence reports the measured empirical runtime denominator and does not claim road deployment.,high,Runtime-denominator safety evidence under the promoted bounded contract.
D-healthcare,domain_runtime,Medical and Healthcare Monitoring runtime row reduces TSVR from 0.194489 to 0.000000 with witness pass rate 1.000000.,reports/healthcare/runtime_summary.csv,True,supported_by_runtime_summary,Healthcare is runtime-governed on the full promoted MIMIC denominator under the fail-safe release contract. The validation harness remains a secondary proxy surface only.,high,Runtime-denominator safety evidence under the promoted bounded contract.
T-T4,theory,T4 is part of the defended necessity and covered-safety theorem chain.,reports/publication/active_theorem_audit.csv,True,flagship_defended,Defended as the observation-necessity witness for the fixed-margin quality-ignorant controller class on the battery row with explicit arbitrage reachability.,medium,Defended theorem chain with explicit scope limits.
T-T10_T11_ObservationAmbiguitySandwich,theory,T10_T11_ObservationAmbiguitySandwich is part of the defended necessity and covered-safety theorem chain.,reports/publication/active_theorem_audit.csv,True,supporting_defended,"Supporting optimality corollary under covered observation ambiguity; contract-universal, not unrestricted-global; it does not assert unrestricted global optimality for all physical AI systems.",medium,Defended theorem chain with explicit scope limits.
T-T11,theory,T11 is part of the defended necessity and covered-safety theorem chain.,reports/publication/active_theorem_audit.csv,True,flagship_defended,Defended as the forward four-obligation one-step transfer theorem; the converse remains a separate structural failure proposition.,medium,Defended theorem chain with explicit scope limits.
X-battery,external_predeployment,Battery Energy Storage has software_hil_rehearsal evidence on battery_hil_or_simulator.,reports/hil/hil_summary.json,True,simulated_hil_pass,"HIL/simulator rehearsal, not unrestricted field deployment.",high,Predeployment validation only; do not call it unrestricted deployment.
X-av,external_predeployment,Autonomous Vehicles has bounded_kinematic_closed_loop_planner evidence on nuplan_bounded_kinematic_closed_loop_planner.,reports/predeployment_external_validation/av_closed_loop_planner/av_planner_closed_loop_summary.csv,True,closed_loop_planner_pass,"Bounded kinematic nuPlan closed-loop planner evaluation: ego actions update future ego speed and gap, but this is not CARLA, road deployment, or full autonomous-driving field closure.",high,Predeployment validation only; do not call it unrestricted deployment.
X-healthcare,external_predeployment,Medical and Healthcare Monitoring has retrospective_time_forward_and_source_holdout_ready evidence on healthcare_retrospective_time_forward_source_holdout.,reports/predeployment_external_validation/healthcare_site_splits,True,retrospective_split_ready,"Retrospective source-holdout/time-forward split validation, not prospective trial evidence and not live clinical deployment.",high,Predeployment validation only; do not call it unrestricted deployment.
M-german_opsd,model_training,"German OPSD training surface is verified with primary target load_mw, RMSE 256.30623919216544, and PICP90 0.9301587301587302.",reports/universal_training_audit/domain_training_summary.csv,True,verified,Model quality supports runtime evidence but is not the safety claim by itself.,medium,Training quality is reported separately from runtime release safety.
M-nuplan_all-zip_grouped_av_replay,model_training,"nuPlan All-Zip Grouped AV Replay training surface is verified with primary target ego_speed_mps_1s, RMSE , and PICP90 0.9345008568980292.",reports/universal_training_audit/domain_training_summary.csv,True,verified,Model quality supports runtime evidence but is not the safety claim by itself.,medium,Training quality is reported separately from runtime release safety.
M-healthcare_vital_signs,model_training,"Healthcare Vital Signs training surface is verified with primary target hr_bpm, RMSE 1.353953089494559, and PICP90 0.90297659622813.",reports/universal_training_audit/domain_training_summary.csv,True,verified,Model quality supports runtime evidence but is not the safety claim by itself.,medium,Training quality is reported separately from runtime release safety.
F1,freeze_status,The active max offline freeze is not claimed complete until a predeployment release manifest exists.,reports/predeployment_freeze/PREDEPLOY_QMAX10_FIX7_20260503T054606Z/predeployment_release_manifest.json,True,complete,No final freeze claim before predeployment_release_manifest.json exists.,high,Freeze is complete only when the release manifest and hash locks exist.
