theorem_id,current_tier,candidate_status,gate,gate_pass,evidence,blocker,required_for_flagship
T9,flagship_defended,promotion_ready,formal_theorem_statement,1,appendices/proofs/T9_no_free_safety.tex:1,,True
T9,flagship_defended,promotion_ready,explicit_assumptions,1,Mandatory release policy is total and depends only on the observation. | The observation ambiguity class is nonempty. | The observation ambiguity class has empty common safe core.,,True
T9,flagship_defended,promotion_ready,mathematical_proof,1,appendices/proofs/T9_no_free_safety.tex:13; proof_tier=V1,,True
T9,flagship_defended,promotion_ready,mechanized_proof,1,reports/publication/t9_t10_mechanized_proof_status.json,,True
T9,flagship_defended,promotion_ready,research_package,1,reports/publication/t9_t10_research_scorecard.json,,True
T9,flagship_defended,promotion_ready,code_anchor,1,src/orius/universal_theory/ambiguity.py:18 | src/orius/universal_theory/ambiguity.py:36,,True
T9,flagship_defended,promotion_ready,tests,1,tests/test_T9_mandatory_release_impossibility.py:9,,True
T9,flagship_defended,promotion_ready,artifact_evidence:battery,1,reports/publication/theorem_promotion_evidence/T9_battery.json,,True
T9,flagship_defended,promotion_ready,artifact_evidence:av,1,reports/publication/theorem_promotion_evidence/T9_av.json,,True
T9,flagship_defended,promotion_ready,artifact_evidence:healthcare,1,reports/publication/theorem_promotion_evidence/T9_healthcare.json,,True
T9,flagship_defended,promotion_ready,domain_applicability_matrix,1,reports/publication/theorem_promotion_domain_matrix.csv,,True
T9,flagship_defended,promotion_ready,universal_constants_and_assumptions,1,three-domain constants and assumptions discharge matrix,,True
T10,flagship_defended,promotion_ready,formal_theorem_statement,1,appendices/proofs/T10_boundary_lower_bound.tex:1,,True
T10,flagship_defended,promotion_ready,explicit_assumptions,1,Two latent boundary states induce observation distributions within the stated TV radius. | The two state-conditioned safe-action sets are disjoint.,,True
T10,flagship_defended,promotion_ready,mathematical_proof,1,appendices/proofs/T10_boundary_lower_bound.tex:11; proof_tier=V1,,True
T10,flagship_defended,promotion_ready,mechanized_proof,1,reports/publication/t9_t10_mechanized_proof_status.json,,True
T10,flagship_defended,promotion_ready,research_package,1,reports/publication/t9_t10_research_scorecard.json,,True
T10,flagship_defended,promotion_ready,code_anchor,1,src/orius/universal_theory/boundary_indistinguishability.py:14 | src/orius/universal_theory/boundary_indistinguishability.py:8,,True
T10,flagship_defended,promotion_ready,tests,1,tests/test_T10_boundary_lower_bound.py:7,,True
T10,flagship_defended,promotion_ready,artifact_evidence:battery,1,reports/publication/theorem_promotion_evidence/T10_battery.json,,True
T10,flagship_defended,promotion_ready,artifact_evidence:av,1,reports/publication/theorem_promotion_evidence/T10_av.json,,True
T10,flagship_defended,promotion_ready,artifact_evidence:healthcare,1,reports/publication/theorem_promotion_evidence/T10_healthcare.json,,True
T10,flagship_defended,promotion_ready,domain_applicability_matrix,1,reports/publication/theorem_promotion_domain_matrix.csv,,True
T10,flagship_defended,promotion_ready,universal_constants_and_assumptions,1,three-domain constants and assumptions discharge matrix,,True
