domain,ablation_name,baseline_family,evidence_status,baseline_tsvr,orius_tsvr,absolute_delta,relative_delta,baseline_intervention_rate,orius_intervention_rate,metric_surface,note
Battery Energy Storage,no_quality_signal,no_quality_signal_runtime,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Battery Energy Storage,no_reliability_conditioned_widening,fixed_threshold_or_fixed_inflation_runtime,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Battery Energy Storage,no_repair_release_without_repair,nominal_deterministic_controller,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Battery Energy Storage,no_fallback_or_no_temporal_guard,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Battery Energy Storage,no_certificate_refresh_stale_certificate_policy,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Autonomous Vehicles,no_quality_signal,no_quality_signal_runtime,runtime_native_ablation,0.289309,0.000163,0.289146,0.999437,0.000000,0.500301,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Autonomous Vehicles,no_reliability_conditioned_widening,fixed_threshold_or_fixed_inflation_runtime,runtime_native_ablation,0.252319,0.000163,0.252156,0.999354,0.896897,0.500301,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Autonomous Vehicles,no_repair_release_without_repair,nominal_deterministic_controller,runtime_native_ablation,0.289250,0.000163,0.289087,0.999436,0.000000,0.500301,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Autonomous Vehicles,no_fallback_or_no_temporal_guard,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_native_ablation,0.263610,0.000163,0.263447,0.999382,0.340679,0.500301,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Autonomous Vehicles,no_certificate_refresh_stale_certificate_policy,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_native_ablation,0.263610,0.000163,0.263447,0.999382,0.340679,0.500301,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Medical and Healthcare Monitoring,no_quality_signal,no_quality_signal_runtime,runtime_native_ablation,0.200420,0.000000,0.200420,1.000000,0.000000,0.479907,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Medical and Healthcare Monitoring,no_reliability_conditioned_widening,fixed_threshold_or_fixed_inflation_runtime,runtime_native_ablation,0.200420,0.000000,0.200420,1.000000,1.000000,0.479907,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Medical and Healthcare Monitoring,no_repair_release_without_repair,nominal_deterministic_controller,runtime_native_ablation,0.194489,0.000000,0.194489,1.000000,0.000000,0.479907,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Medical and Healthcare Monitoring,no_fallback_or_no_temporal_guard,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_native_ablation,0.000029,0.000000,0.000029,1.000000,1.000000,0.479907,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Medical and Healthcare Monitoring,no_certificate_refresh_stale_certificate_policy,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_native_ablation,0.000029,0.000000,0.000029,1.000000,1.000000,0.479907,runtime_denominator,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
