chapter,chapter_file,theorem_group,theorem_ids_or_scope,code_anchors,artifact_paths,token_or_claim,status
ch15,chapters/ch15_assumptions_notation_proof_discipline.tex,A1-A8,A1-A8,configs/dc3s.yaml,orius-plan/assumption_register.md,ASM_REGISTER,locked
ch16,chapters/ch16_battery_theorem_oasg_existence.tex,A,T1,src/gridpulse/cpsbench_iot/scenarios.py;src/gridpulse/cpsbench_iot/runner.py,reports/publication/dc3s_main_table_ci.csv,THM_T1_OASG,locked
ch17,chapters/ch17_battery_theorem_safety_preservation.tex,A,T2,src/gridpulse/dc3s/guarantee_checks.py;src/gridpulse/dc3s/shield.py,reports/publication/dc3s_main_table_ci.csv,THM_T2_SAFETY,locked
ch18,chapters/ch18_orius_core_bound_battery.tex,A,T3,src/gridpulse/dc3s/coverage_theorem.py,reports/publication/reliability_group_coverage_phase3.csv,THM_T3_COVERAGE,locked
ch19,chapters/ch19_no_free_safety_battery.tex,D,T4,src/gridpulse/cpsbench_iot/baselines.py;src/gridpulse/cpsbench_iot/runner.py,reports/publication/fault_performance_table.csv,THM_T4_NO_FREE_SAFETY,locked
ch20,chapters/ch20_temporal_behavioral_extensions.tex,B/C,T6-T11,src/gridpulse/dc3s/shield.py;src/gridpulse/cpsbench_iot/runner.py,reports/blackout/blackout_study.csv;reports/blackout/graceful_degradation_trace.csv,THM_TEMPORAL_BEHAVIORAL,partial_empirical
ch21,chapters/ch21_fault_performance_stress_tests.tex,empirical,fault stress,scripts/make_fault_benchmark_tables.py,reports/fault_benchmark/fault_performance_table.csv,TBL_FAULT_STRESS,locked
ch22,chapters/ch22_latency_systems_footprint.tex,systems,latency/runtime,scripts/make_latency_tables.py,reports/latency/dc3s_latency_summary.csv;reports/hil/hil_timing_table.csv,TBL_LATENCY_FOOTPRINT,locked
ch23,chapters/ch23_hyperparameter_surface_stability.tex,empirical,surface stability,scripts/sweep_hyperparameters.py,reports/calibration/hyperparameter_surfaces.csv;reports/calibration/hyperparameter_surface.png,FIG_HYPERPARAM_SURFACE,locked
ch24,chapters/ch24_conditional_coverage_subgroups.tex,B,conditional coverage,scripts/run_reliability_group_audit.py;scripts/run_mondrian_subgroup_eval.py,reports/calibration/reliability_group_audit.csv;reports/calibration/mondrian_subgroup_eval.csv,TBL_CONDITIONAL_COVERAGE,locked
ch25,chapters/ch25_regional_decomposition_real_prices.tex,empirical,regional grounding,scripts/run_transfer_study.py,reports/publication/table4_region_compare.csv;reports/publication/claim_evidence_matrix_de_us.csv,TBL_REGIONAL_GROUNDING,partial_existing
ch26,chapters/ch26_asset_preservation_aging_proxy.tex,C,aging calibration,scripts/run_aging_proxy_analysis.py,reports/aging/asset_preservation_proxy_table.csv,TBL_ASSET_PRESERVATION,partial_proxy
ch27,chapters/ch27_hardware_in_loop_validation.tex,runtime,HIL rehearsal,scripts/run_hil_trial.py;scripts/make_hil_tables.py,reports/hil/hil_summary.json;reports/hil/hil_hardware_table.csv;reports/hil/hil_timing_table.csv,TBL_HIL_EVIDENCE,locked
ch28,chapters/ch28_certificate_half_life_blackout.tex,B,blackout hold,scripts/run_blackout_half_life.py,reports/blackout/blackout_study.csv;reports/blackout/fig_blackout_halflife.png,FIG_BLACKOUT_HOLD,locked
ch29,chapters/ch29_graceful_degradation_safe_landing.tex,C,safe landing,scripts/run_graceful_degradation.py,reports/blackout/graceful_degradation_trace.csv;reports/blackout/graceful_degradation_trace.png,FIG_GRACEFUL_LANDING,locked
ch30,chapters/ch30_orius_bench_battery_track.tex,E,benchmark formalization,scripts/generate_priority3_artifacts.py,reports/publication/orius_bench_battery_leaderboard.csv;reports/publication/battery_rank_reversal.csv,TBL_ORIUS_BENCH,locked
ch31,chapters/ch31_compositional_safety_battery_fleets.tex,E,bounded fleet coordination,scripts/run_two_battery_fleet.py,reports/fleet/fleet_composition_two_battery.csv;reports/fleet/two_battery_composition_metrics.csv,TBL_FLEET_COORDINATION,locked
ch32,chapters/ch32_adversarial_robustness_active_probing.tex,extension,active probing,scripts/run_spoofing_attack.py;scripts/make_probing_figures.py,reports/probing/spoofing_attack_results.csv;reports/probing/probing_detection_quality.png,TBL_PROBING_RESULTS,locked
ch33,chapters/ch33_what_battery_thesis_proves.tex,closing,scope summary,reports/publication/battery_claim_evidence_register.csv,reports/publication/battery_claim_evidence_register.csv,CLOSING_SCOPE_PROVES,locked
ch34,chapters/ch34_outside_current_evidence.tex,closing,scope boundary,reports/publication/battery_plan_gap_audit.csv,reports/publication/battery_plan_gap_audit.csv,CLOSING_SCOPE_BOUNDARY,locked
ch35,chapters/ch35_deployment_path_verification_discipline.tex,closing,verification discipline,reports/publication/phase3_rebuild_battery_evidence_manifest.json,reports/publication/phase3_rebuild_battery_evidence_manifest.json,CLOSING_VERIFICATION,locked
ch36,chapters/ch36_conclusion.tex,closing,battery conclusion,reports/publication/phase0_lock_current_truth_manifest.json,reports/publication/phase0_lock_current_truth_manifest.json,CLOSING_CONCLUSION,locked
