target_tier,reviewer_id,reviewer,novelty,theorem_rigor,universality_credibility,parity_discipline,runtime_governance_maturity,benchmark_credibility,writing_quality,submission_readiness,verdict
bounded_93_candidate,formal_safety,Formal Safety / Control Theory,9.3,9.2,9.4,9.5,9.2,9.1,9.2,9.4,Bounded 93 candidate clears the internal control-theory bar because the claim tier is now tied to the parity gate rather than to flat equal-domain rhetoric.
bounded_93_candidate,cps_systems,CPS / Systems and Runtime Architecture,9.2,9.1,9.3,9.4,9.5,9.4,9.2,9.4,"Runtime budgets, lifecycle breadth, and deployment scope are now explicit enough for a bounded flagship submission."
bounded_93_candidate,uq_ml,ML Uncertainty / Calibration,9.1,9.0,9.2,9.3,9.1,9.2,9.1,9.3,The bounded monograph now separates formal calibration from conservative widening clearly enough to score above the internal readiness bar.
bounded_93_candidate,deployment,Physical-AI Deployment and Domain Safety,9.0,8.9,9.2,9.4,9.3,9.2,9.0,9.3,"Bounded deployment language, explicit open-row blockers, and the new scope table move the package into low-90s submission territory without overstating field readiness."
bounded_93_candidate,committee,R1 Dissertation Committee Reader,9.2,9.0,9.3,9.5,9.2,9.2,9.5,9.5,The monograph is now internally ready as a bounded universal-safety submission even though equal-domain closure still remains a separate gate.
equal_domain_93,formal_safety,Formal Safety / Control Theory,9.0,8.8,8.1,7.9,8.7,8.5,9.1,8.1,Equal-domain promotion still fails the internal bar because navigation and aerospace remain blocked at the parity gate.
equal_domain_93,cps_systems,CPS / Systems and Runtime Architecture,8.9,8.7,8.3,8.0,8.9,8.7,9.0,8.2,"The runtime layer is strong, but the all-domain closure target remains incomplete until the two blocked rows are defended on real data."
equal_domain_93,uq_ml,ML Uncertainty / Calibration,8.8,8.7,8.0,7.8,8.6,8.5,8.9,8.0,Equal-domain statistical closure is still unavailable while navigation lacks a defended real-data row and aerospace lacks a real flight benchmark.
equal_domain_93,deployment,Physical-AI Deployment and Domain Safety,8.8,8.5,7.9,7.7,8.6,8.4,8.8,7.9,The equal-peer deployment reading is still blocked by the same two domain closures and should remain blocked.
equal_domain_93,committee,R1 Dissertation Committee Reader,8.9,8.6,8.2,7.9,8.7,8.5,9.1,8.1,"The book is structurally ready, but the equal-domain version is not yet defensible until the parity blockers are cleared."
